Time:512Hz,Epoch,sinusOsc 1,sinusOsc 2,sinusOsc 3,sinusOsc 4,Event Id,Event Date,Event Duration
0.1171875000,1,2.4907127401,0.9439999007,-0.8883645456,0.7209285523,,,
0.1191406250,1,2.4803409248,0.6547450446,-0.7342016140,1.2109964516,,,
0.1210937500,1,2.4522823045,0.3949108210,-0.4538361681,1.4899673467,,,
0.1230468750,1,2.4071974770,0.1800073794,-0.0941429486,1.4997237708,,,
0.1250000000,2,2.3460347303,0.0223674799,0.2862985568,1.2564364343,,,
0.1269531250,2,2.2700134121,-0.0697062762,0.6263400274,0.8459135047,,,
0.1289062500,2,2.1806025581,-0.0925131326,0.8717964088,0.3998595580,,,
0.1308593750,2,2.0794951543,-0.0472049343,0.9838894830,0.0595530326,,,
0.1328125000,2,1.9685784838,0.0603015178,0.9452877596,-0.0631007468,,,
0.1347656250,2,1.8499010769,0.2197443820,0.7628019458,0.0835353785,,,
0.1367187500,2,1.7256368435,0.4172396630,0.4663161840,0.4764568219,,,
0.1386718750,2,1.5980470159,0.6362566450,0.1041215666,1.0241066230,,,
0.1406250000,2,1.4694405683,0.8587778323,-0.2646211776,1.5912609145,,,
0.1425781250,2,1.3421338058,1.0665624964,-0.5791157637,2.0358921126,,,
0.1445312500,2,1.2184098309,1.2424256986,-0.7864228378,2.2479086352,,,
0.1464843750,2,1.1004785968,1.3714435850,-0.8497322400,2.1791555437,,,
0.1484375000,2,0.9904382474,1.4420008852,-0.7541264530,1.8564555014,,,
0.1503906250,2,0.8902384204,1.4466075559,-0.5089373882,1.3741174399,,,
0.1523437500,2,0.8016461565,1.3824276050,-0.1463292489,0.8679674582,,,
0.1542968750,2,0.7262150113,1.2514832059,0.2836719961,0.4780205127,,,
0.1562500000,2,0.6652579106,1.0605198516,0.7209285523,0.3100244990,,,
0.1582031250,2,0.6198242252,0.8205419397,1.1045132822,0.4064171814,,,
0.1601562500,2,0.5906814649,0.5460511577,1.3821529403,0.7346564520,,,
0.1621093750,2,0.5783019143,0.2540407661,1.5183215760,1.1961226932,,,
0.1640625000,2,0.5828544425,-0.0371841020,1.4997237708,1.6531536145,,,
0.1660156250,2,0.6042016316,-0.3092778736,1.3373139346,1.9668021611,,,
0.1679687500,2,0.6419022723,-0.5451290503,1.0645374209,2.0349690105,,,
0.1699218750,2,0.6952191857,-0.7300489404,0.7320676951,1.8204583049,,,
0.1718750000,2,0.7631322311,-0.8527917255,0.3998595580,1.3612667999,,,
0.1738281250,2,0.8443562740,-0.9063347375,0.1277564646,0.7602857029,,,
0.1757812500,2,0.9373637994,-0.8883645456,-0.0338848120,0.1572366446,,,
0.1777343750,2,1.0404117741,-0.8014349639,-0.0520916208,-0.3094678625,,,
0.1796875000,2,1.1515722864,-0.6527859701,0.0835353785,-0.5404879020,,,
0.1816406250,2,1.2687664296,-0.4538361681,0.3591498107,-0.5025952150,,,
0.1835937500,2,1.3898008324,-0.2193841945,0.7387647315,-0.2375788840,,,
0.1855468750,2,1.5124061994,0.0334252384,1.1698077144,0.1494213822,,,
0.1875000000,3,1.6342771847,0.2862985568,1.5912609145,0.5189549878,,,
0.1894531250,3,1.7531129016,0.5210703076,1.9431185114,0.7357123196,,,
0.1914062500,3,1.8666573587,0.7209708579,2.1756887376,0.7058481899,,,
0.1933593750,3,1.9727391135,0.8717964088,2.2572918891,0.4029455027,,,
0.1953125000,3,2.0693094508,0.9628997326,2.1791555437,-0.1244988728,,,
0.1972656250,3,2.1544784149,0.9879325475,1.9567447409,-0.7661198514,,,
0.1992187500,3,2.2265480668,0.9452877596,1.6273201425,-1.3796882339,,,
0.2011718750,3,2.2840423833,0.8382107369,1.2441046838,-1.8298520966,,,
0.2031250000,3,2.3257332731,0.6745718556,0.8679674582,-2.0249997390,,,
0.2050781250,3,2.3506622562,0.4663161840,0.5579202604,-1.9421432231,,,
0.2070312500,3,2.3581574258,0.2286286825,0.3619071332,-1.6330046614,,,
0.2089843750,3,2.3478453955,-0.0211268631,0.3093216037,-1.2096390757,,,
0.2109375000,3,2.3196580229,-0.2646211776,0.4064171814,-0.8135359478,,,
0.2128906250,3,2.2738337922,-0.4838404859,0.6353260254,-0.5766694511,,,
0.2148437500,3,2.2109138297,-0.6623458227,0.9568386819,-0.5851738322,,,
0.2167968750,3,2.1317326245,-0.7864228378,1.3165119586,-0.8556007782,,,
0.2187500000,3,2.0374036140,-0.8460419110,1.6531536145,-1.3302670931,,,
0.2207031250,3,1.9292998892,-0.8355616133,1.9083623131,-1.8929687428,,,
0.2226562500,3,1.8090303545,-0.7541264530,2.0356369104,-2.4007553301,,,
0.2246093750,3,1.6784117627,-0.6057311583,2.0076362012,-2.7230571803,,,
0.2265625000,3,1.5394371117,-0.3989470030,1.8204583049,-2.7774418870,,,
0.2285156250,3,1.3942409578,-0.1463292489,1.4942730593,-2.5522007238,,,
0.2304687500,3,1.2450622533,0.1364529876,1.0702088070,-2.1095746572,,,
0.2324218750,3,1.0942053566,0.4317037791,0.6039783403,-1.5687355955,,,
0.2343750000,3,0.9439999007,0.7209285523,0.1572366446,-1.0731867792,,,
0.2363281250,3,0.7967602195,0.9861177446,-0.2119836546,-0.7515162671,,,
0.2382812500,3,0.6547450446,1.2109964516,-0.4582695971,-0.6822589892,,,
0.2402343750,3,0.5201181768,1.3821529403,-0.5558567725,-0.8724966169,,,
0.2421875000,3,0.3949108210,1.4899673467,-0.5025952150,-1.2560591950,,,
0.2441406250,3,0.2809862452,1.5292758136,-0.3202348315,-1.7118200601,,,
0.2460937500,3,0.1800073794,1.4997237708,-0.0509861503,-2.0970684467,,,
0.2480468750,3,0.0934079254,1.4057837393,0.2491076739,-2.2868116966,,,
0.2500000000,4,0.0223674799,1.2564364343,0.5189549878,-2.2082337379,,,
0.2519531250,4,-0.0322088923,1.0645374209,0.7019874523,-1.8608639094,,,
0.2539062500,4,-0.0697062762,0.8459135047,0.7550284002,-1.3169264768,,,
0.2558593750,4,-0.0898104451,0.6182518862,0.6550761577,-0.7017729956,,,
0.2578125000,4,-0.0925131326,0.3998595580,0.4029455027,-0.1597583084,,,
0.2597656250,4,-0.0781119480,0.2083794740,0.0231997895,0.1850896046,,,
0.2617187500,4,-0.0472049343,0.0595530326,-0.4396159819,0.2628288715,,,
0.2636718750,4,-0.0006798677,-0.0338848120,-0.9278547274,0.0765418351,,,
0.2656250000,4,0.0603015178,-0.0631007468,-1.3796882339,-0.2987362122,,,
0.2675781250,4,0.1343241012,-0.0237861635,-1.7386803119,-0.7368019713,,,
0.2695312500,4,0.2197443820,0.0835353785,-1.9625213604,-1.0950842003,,,
0.2714843750,4,0.3147194864,0.2535377435,-2.0295641664,-1.2539192979,,,
0.2734375000,4,0.4172396630,0.4764568219,-1.9421432231,-1.1495363031,,,
0.2753906250,4,0.5251637004,0.7387647315,-1.7261608279,-0.7917093795,,,
0.2773437500,4,0.6362566450,1.0241066230,-1.4270046753,-0.2612381721,,,
0.2792968750,4,0.7482291595,1.3144347750,-1.1024330403,0.3120548556,,,
0.2812500000,4,0.8587778323,1.5912609145,-0.8135359478,0.7847811254,,,
0.2832031250,4,0.9656257321,1.8369394441,-0.6151803842,1.0391801871,,,
0.2851562500,4,1.0665624964,2.0358921126,-0.5474279555,1.0153104690,,,
0.2871093750,4,1.1594832542,2.1756887376,-0.6292619160,0.7274147604,,,
0.2890625000,4,1.2424256986,2.2479086352,-0.8556007782,0.2599756842,,,
0.2910156250,4,1.3136046616,2.2487226981,-1.1980637952,-0.2554574247,,,
0.2929687500,4,1.3714435850,2.1791555437,-1.6093692103,-0.6763190413,,,
0.2949218750,4,1.4146023369,2.0450094657,-2.0306803324,-0.8880750805,,,
0.2968750000,4,1.4420008852,1.8564555014,-2.4007553301,-0.8355661309,,,
0.2988281250,4,1.4528384154,1.6273201425,-2.6654756841,-0.5380565372,,,
0.3007812500,4,1.4466075559,1.3741174399,-2.7862692336,-0.0838655116,,,
0.3027343750,4,1.4231034628,1.1148940050,-2.7461159084,0.3939473964,,,
0.3046875000,4,1.3824276050,0.8679674582,-2.5522007238,0.7541775274,,,
0.3066406250,4,1.3249861825,0.6506463049,-2.2348008026,0.8863201473,,,
0.3085937500,4,1.2514832059,0.4780205127,-1.8425797366,0.7410176286,,,
0.3105468750,4,1.1629083582,0.3619071332,-1.4350221558,0.3437625704,,,
0.3125000000,5,1.0605198516,0.3100244990,-1.0731867792,-0.2119004478,,,
0.3144531250,5,0.9458225784,0.3254525869,-0.8102181100,-0.7898130897,,,
0.3164062500,5,0.8205419397,0.4064171814,-0.6830945046,-1.2483115247,,,
0.3183593750,5,0.6865938091,0.5464128923,-0.7068977625,-1.4788364654,,,
0.3203125000,5,0.5460511577,0.7346564520,-0.8724966169,-1.4354651966,,,
0.3222656250,5,0.4011079248,0.9568386819,-1.1480047637,-1.1472738665,,,
0.3242187500,5,0.2540407661,1.1961226932,-1.4837861393,-0.7101440528,,,
0.3261718750,5,0.1071693504,1.4343187135,-1.8202276440,-0.2602613298,,,
0.3281250000,5,-0.0371841020,1.6531536145,-2.0970684467,0.0634287720,,,
0.3300781250,5,-0.1767353284,1.8355466094,-2.2628325485,0.1575156101,,,
0.3320312500,5,-0.3092778736,1.9668021611,-2.2828951878,-0.0173284533,,,
0.3339843750,5,-0.4327215806,2.0356369104,-2.1449264448,-0.4253728324,,,
0.3359375000,5,-0.5451290503,2.0349690105,-1.8608639094,-0.9654362809,,,
0.3378906250,5,-0.6447494299,1.9624148188,-1.4651068845,-1.4984458890,,,
0.3398437500,5,-0.7300489404,1.8204583049,-1.0092131066,-1.8853960963,,,
0.3417968750,5,-0.7997376070,1.6162813554,-0.5539237113,-2.0253058315,,,
0.3437500000,5,-0.8527917255,1.3612667999,-0.1597583084,-1.8827722525,,,
0.3457031250,5,-0.8884716710,1.0702088070,0.1223552593,-1.4975706525,,,
0.3476562500,5,-0.9063347375,0.7602857029,0.2589573004,-0.9736705310,,,
0.3496093750,5,-0.9062427827,0.4498668311,0.2392123056,-0.4506790511,,,
0.3515625000,5,-0.8883645456,0.1572366446,0.0765418351,-0.0655390377,,,
0.3535156250,5,-0.8531725951,-0.1006750062,-0.1935197836,0.0850205908,,,
0.3554687500,5,-0.8014349639,-0.3094678625,-0.5189126821,-0.0290095076,,,
0.3574218750,5,-0.7342016140,-0.4582695971,-0.8392110875,-0.3627217885,,,
0.3593750000,5,-0.6527859701,-0.5404879020,-1.0950842003,-0.8086493471,,,
0.3613281250,5,-0.5587418465,-0.5542638911,-1.2375844752,-1.2262910912,,,
0.3632812500,5,-0.4538361681,-0.5025952150,-1.2358163644,-1.4807120278,,,
0.3652343750,5,-0.3400179670,-0.3931203161,-1.0817908424,-1.4796387184,,,
0.3671875000,5,-0.2193841945,-0.2375788840,-0.7917093795,-1.1988821934,,,
0.3691406250,5,-0.0941429486,-0.0509861503,-0.4034771709,-0.6891195296,,,
0.3710937500,5,0.0334252384,0.1494213822,0.0291672348,-0.0621741496,,,
0.3730468750,5,0.1610073766,0.3453952436,0.4449917410,0.5394464697,,,
0.3750000000,6,0.2862985568,0.5189549878,0.7847811254,0.9814084992,,,
0.3769531250,6,0.4070423425,0.6536495966,1.0005369179,1.1741568928,,,
0.3789062500,6,0.5210703076,0.7357123196,1.0629339198,1.0972374518,,,
0.3808593750,6,0.6263400274,0.7550284002,0.9658720706,0.8046718379,,,
0.3828125000,6,0.7209708579,0.7058481899,0.7274147604,0.4099144509,,,
0.3847656250,6,0.8032768767,0.5871959046,0.3869674993,0.0545161477,,,
0.3867187500,6,0.8717964088,0.4029455027,-0.0008635859,-0.1309147125,,,
0.3886718750,6,0.9253176204,0.1615583760,-0.3747768388,-0.0627523168,,,
0.3906250000,6,0.9628997326,-0.1244988728,-0.6763190413,0.2724851298,,,
0.3925781250,6,0.9838894830,-0.4396159819,-0.8589817634,0.8142025350,,,
0.3945312500,6,0.9879325475,-0.7661198514,-0.8954333414,1.4441036551,,,
0.3964843750,6,0.9749797227,-1.0854992806,-0.7817601324,2.0183894046,,,
0.3984375000,6,0.9452877596,-1.3796882339,-0.5380565372,2.4069561396,,,
0.4003906250,6,0.8994148344,-1.6323181664,-0.2052720016,2.5288527400,,,
0.4023437500,6,0.8382107369,-1.8298520966,0.1611937814,2.3742805529,,,
0.4042968750,6,0.7628019458,-1.9625213604,0.5001497385,2.0071083324,,,
0.4062500000,6,0.6745718556,-2.0249997390,0.7541775274,1.5472144212,,,
0.4082031250,6,0.5751364976,-2.0167679677,0.8786110466,1.1374970110,,,
0.4101562500,6,0.4663161840,-1.9421432231,0.8485325439,0.9045951687,,,
0.4121093750,6,0.3501035681,-1.8099715454,0.6626954298,0.9240868258,,,
0.4140625000,6,0.2286286825,-1.6330046614,0.3437625704,1.1997027388,,,
0.4160156250,6,0.1041215666,-1.4270046753,-0.0651772928,1.6622538712,,,
0.4179687500,6,-0.0211268631,-1.2096390757,-0.5072726602,2.1885665942,,,
0.4199218750,6,-0.1448050125,-0.9992431252,-0.9207143736,2.6352363467,,,
0.4218750000,6,-0.2646211776,-0.8135359478,-1.2483115247,2.8779488994,,,
0.4238281250,6,-0.3783437685,-0.6683798568,-1.4463469512,2.8455922399,,,
0.4257812500,6,-0.4838404859,-0.5766694511,-1.4913333118,2.5398096293,,,
0.4277343750,6,-0.5791157637,-0.5474279555,-1.3836177318,2.0346343113,,,
0.4296875000,6,-0.6623458227,-0.5851738322,-1.1472738665,1.4563051832,,,
0.4316406250,6,-0.7319107205,-0.6896018378,-0.8262984842,0.9487943486,,,
0.4335937500,6,-0.7864228378,-0.8556007782,-0.4777052620,0.6344932390,,,
0.4355468750,6,-0.8247513005,-1.0736067283,-0.1625917601,0.5808307104,,,
0.4375000000,7,-0.8460419110,-1.3302670931,0.0634287720,0.7819705904,,,
0.4394531250,7,-0.8497322400,-1.6093692103,0.1589401826,1.1606031806,,,
0.4414062500,7,-0.8355616133,-1.8929687428,0.1032234571,1.5893379440,,,
0.4433593750,7,-0.8035758188,-2.1626391818,-0.1004686706,1.9258323976,,,
0.4453125000,7,-0.7541264530,-2.4007553301,-0.4253728324,2.0520274556,,,
0.4472656250,7,-0.6878649154,-2.5917212692,-0.8253402936,1.9067339371,,,
0.4492187500,7,-0.6057311583,-2.7230571803,-1.2419840778,1.5026371429,,,
0.4511718750,7,-0.5089373882,-2.7862692336,-1.6137349713,0.9230569069,,,
0.4531250000,7,-0.3989470030,-2.7774418870,-1.8853960963,0.2993489279,,,
0.4550781250,7,-0.2774491358,-2.6975112897,-2.0167080724,-0.2248611659,,,
0.4570312500,7,-0.1463292489,-2.5522007238,-1.9885908777,-0.5328107935,,,
0.4589843750,7,-0.0076362937,-2.3516225857,-1.8060903662,-0.5663773644,,,
0.4609375000,7,0.1364529876,-2.1095746572,-1.4975706525,-0.3417921204,,,
0.4628906250,7,0.2836719961,-1.8425797366,-1.1102782771,0.0550138580,,,
0.4648437500,7,0.4317037791,-1.5687355955,-0.7029691648,0.4921540994,,,
0.4667968750,7,0.5782214120,-1.3064554511,-0.3367468509,0.8281122603,,,
0.4687500000,7,0.7209285523,-1.0731867792,-0.0655390377,0.9506913659,,,
0.4707031250,7,0.8575994542,-0.8841978024,0.0723041499,0.8079104886,,,
0.4726562500,7,0.9861177446,-0.7515162671,0.0599815666,0.4223797054,,,
0.4746093750,7,1.1045132822,-0.6830945046,-0.0951479725,-0.1147875465,,,
0.4765625000,7,1.2109964516,-0.6822589892,-0.3627217885,-0.6688572272,,,
0.4785156250,7,1.3039892961,-0.7474827672,-0.6941164066,-1.0983337104,,,
0.4804687500,7,1.3821529403,-0.8724966169,-1.0300387776,-1.2936936732,,,
0.4824218750,7,1.4444108249,-1.0467311763,-1.3097831999,-1.2073794232,,,
0.4843750000,7,1.4899673467,-1.2560591950,-1.4807120278,-0.8668315473,,,
0.4863281250,7,1.5183215760,-1.4837861393,-1.5064833760,-0.3669889726,,,
0.4882812500,7,1.5292758136,-1.7118200601,-1.3727441731,0.1556883137,,,
0.4902343750,7,1.5229388356,-1.9219391299,-1.0894016848,0.5605547556,,,
0.4921875000,7,1.4997237708,-2.0970684467,-0.6891195296,0.7412410587,,,
0.4941406250,7,1.4603406473,-2.2224770551,-0.2222722508,0.6547019843,,,
0.4960937500,7,1.4057837393,-2.2868116966,0.2508559108,0.3328900240,,,
0.4980468750,7,1.3373139346,-2.2828951878,0.6694131815,-0.1261432294,,,
0.5000000000,8,1.2564364343,-2.2082337379,0.9814084992,-0.5852777802,,,
0.5019531250,8,1.1648741720,-2.0651978116,1.1517575871,-0.9060781590,,,
0.5039062500,8,1.0645374209,-1.8608639094,1.1676938934,-0.9869199601,,,
0.5058593750,8,0.9574901192,-1.6065282828,1.0407018835,-0.7910388521,,,
0.5078125000,8,0.8459135047,-1.3169264768,0.8046718379,-0.3568127661,,,
0.5097656250,8,0.7320676951,-1.0092131066,0.5105638384,0.2125427690,,,
0.5117187500,8,0.6182518862,-0.7017729956,0.2184123419,0.7770440032,,,
0.5136718750,8,0.5067638670,-0.4129465606,-0.0120830380,1.1980821927,,,
0.5156250000,8,0.3998595580,-0.1597583084,-0.1309147125,1.3761889031,,,
0.5175781250,8,0.2997132838,0.0432629049,-0.1056145375,1.2780752052,,,
0.5195312500,8,0.2083794740,0.1850896046,0.0736310971,0.9455362731,,,
0.5214843750,8,0.1277564646,0.2589573004,0.3923955035,0.4837830153,,,
0.5234375000,8,0.0595530326,0.2628288715,0.8142025350,0.0324007523,,,
0.5253906250,8,0.0052582503,0.1995293665,1.2861530755,-0.2731037068,,,
0.5273437500,8,-0.0338848120,0.0765418351,1.7471110995,-0.3386258878,,,
0.5292968750,8,-0.0569010751,-0.0945215538,2.1371745480,-0.1374272276,,,
0.5312500000,8,-0.0631007468,-0.2987362122,2.4069561396,0.2823791178,,,
0.5332031250,8,-0.0520916208,-0.5189126821,2.5252288278,0.8108734173,,,
0.5351562500,8,-0.0237861635,-0.7368019713,2.4837453199,1.3063315768,,,
0.5371093750,8,0.0215967353,-0.9343746071,2.2984812136,1.6339629459,,,
0.5390625000,8,0.0835353785,-1.0950842003,2.0071083324,1.7027679072,,,
0.5410156250,8,0.1612141821,-1.2050273945,1.6630919942,1.4904145626,,,
0.5429687500,8,0.2535377435,-1.2539192979,1.3273317687,1.0493172412,,,
0.5449218750,8,0.3591498107,-1.2358163644,1.0586478771,0.4922513727,,,
0.5468750000,8,0.4764568219,-1.1495363031,0.9045951687,-0.0385524690,,,
0.5488281250,8,0.6036556018,-0.9987457217,0.8940355635,-0.4103648892,,,
0.5507812500,8,0.7387647315,-0.7917093795,1.0326259461,-0.5362877439,,,
0.5527343750,8,0.8796590413,-0.5407185251,1.3019243734,-0.3990013246,,,
0.5546875000,8,1.0241066230,-0.2612381721,1.6622538712,-0.0554208172,,,
0.5566406250,8,1.1698077144,0.0291672348,2.0588778059,0.3790134127,,,
0.5585937500,8,1.3144347750,0.3120548556,2.4305250053,0.7621052039,,,
0.5605468750,8,1.4556730500,0.5693860533,2.7189367908,0.9640234965,,,
0.5625000000,9,1.5912609145,0.7847811254,2.8779488994,0.9030515780,,,
0.5644531250,9,1.7190292899,0.9446586763,2.8806936910,0.5681654275,,,
0.5664062500,9,1.8369394441,1.0391801871,2.7238007958,0.0222515038,,,
0.5683593750,9,1.9431185114,1.0629339198,2.4279418414,-0.6149196599,,,
0.5703125000,9,2.0358921126,1.0153104690,2.0346343113,-1.1992994843,,,
0.5722656250,9,2.1138135029,0.9005437778,1.5998022241,-1.6018126178,,,
0.5742187500,9,2.1756887376,0.7274147604,1.1850964482,-1.7434978973,,,
0.5761718750,9,2.2205974153,0.5086382012,0.8483263970,-1.6169100155,,,
0.5781250000,9,2.2479086352,0.2599756842,0.6344932390,-1.2879184845,,,
0.5800781250,9,2.2572918891,-0.0008635859,0.5688210526,-0.8774130242,,,
0.5820312500,9,2.2487226981,-0.2554574247,0.6528711494,-0.5279315527,,,
0.5839843750,9,2.2224828942,-0.4859546744,0.8643445559,-0.3643592040,,,
0.5859375000,9,2.1791555437,-0.6763190413,1.1606031806,-0.4594717137,,,
0.5878906250,9,2.1196145997,-0.8134460281,1.4853609772,-0.8137687668,,,
0.5898437500,9,2.0450094657,-0.8880750805,1.7775026599,-1.3551263727,,,
0.5917968750,9,1.9567447409,-0.8954333414,1.9806561408,-1.9583654441,,,
0.5937500000,9,1.8564555014,-0.8355661309,2.0520274556,-2.4793752101,,,
0.5957031250,9,1.7459785506,-0.7133311091,1.9691218088,-2.7944409259,,,
0.5976562500,9,1.6273201425,-0.5380565372,1.7333036119,-2.8339988575,,,
0.5996093750,9,1.5026207417,-0.3228874747,1.3696407306,-2.6015686801,,,
0.6015625000,9,1.3741174399,-0.0838655116,0.9230569069,-2.1726756896,,,
0.6035156250,9,1.2441046838,0.1611937814,0.4513913433,-1.6740592340,,,
0.6054687500,9,1.1148940050,0.3939473964,0.0164461664,-1.2488665435,,,
0.6074218750,9,0.9887734553,0.5968084909,-0.3255841175,-1.0173719192,,,
0.6093750000,9,0.8679674582,0.7541775274,-0.5328107935,-1.0439874057,,,
0.6113281250,9,0.7545977803,0.8535350881,-0.5841222299,-1.3196065582,,,
0.6132812500,9,0.6506463049,0.8863201473,-0.4824206251,-1.7641203663,,,
0.6152343750,9,0.5579202604,0.8485325439,-0.2541203305,-2.2484156057,,,
0.6171875000,9,0.4780205127,0.7410176286,0.0550138580,-2.6298261328,,,
0.6191406250,9,0.4123134757,0.5694132222,0.3870399896,-2.7913203880,,,
0.6210937500,9,0.3619071332,0.3437625704,0.6809063236,-2.6736841908,,,
0.6230468750,9,0.3276315907,0.0778202702,0.8820002640,-2.2918775031,,,
0.6250000000,10,0.3100244990,-0.2119004478,0.9506913659,-1.7310810939,,,
0.6269531250,10,0.3093216037,-0.5072726602,0.8685376110,-1.1235152577,,,
0.6289062500,10,0.3254525869,-0.7898130897,0.6411881241,-0.6123823843,,,
0.6308593750,10,0.3580422736,-1.0419641808,0.2975300671,-0.3128139989,,,
0.6328125000,10,0.4064171814,-1.2483115247,-0.1147875465,-0.2805237468,,,
0.6347656250,10,0.4696172999,-1.3966517551,-0.5367560383,-0.4967557180,,,
0.6367187500,10,0.5464128923,-1.4788364654,-0.9071824177,-0.8736513443,,,
0.6386718750,10,0.6353260254,-1.4913333118,-1.1722088627,-1.2785619119,,,
0.6406250000,10,0.7346564520,-1.4354651966,-1.2936936732,-1.5706412435,,,
0.6425781250,10,0.8425113903,-1.3173108646,-1.2551483488,-1.6396874449,,,
0.6445312500,10,0.9568386819,-1.1472738665,-1.0643060715,-1.4365861863,,,
0.6464843750,10,1.0754627446,-0.9393499597,-0.7519215278,-0.9870097606,,,
0.6484375000,10,1.1961226932,-0.7101440528,-0.3669889726,-0.3846152674,,,
0.6503906250,10,1.3165119586,-0.4777052620,0.0308767061,0.2343960106,,,
